Source,Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To
EoT,adams.nrc.gov,nrc.gov,http://adams.nrc.gov,True,False,
Censys,adams.usss.dhs.gov,dhs.gov,http://adams.usss.dhs.gov,True,False,
Censys,adams.ustest.dhs.gov,dhs.gov,http://adams.ustest.dhs.gov,True,False,
EoT,adamsforms.house.gov,house.gov,http://adamsforms.house.gov,True,False,
EoT,adamsmith.house.gov,house.gov,https://adamsmith.house.gov,True,False,
EoT,adamswebsearch.nrc.gov,nrc.gov,http://adamswebsearch.nrc.gov,True,False,
EoT,adamswebsearch2.nrc.gov,nrc.gov,https://adamswebsearch2.nrc.gov,True,False,
EoT,adcvd.cbp.dhs.gov,dhs.gov,http://adcvd.cbp.dhs.gov,True,False,
DAP,addiction.surgeongeneral.gov,surgeongeneral.gov,https://addiction.surgeongeneral.gov,True,False,
EoT,addictionresearch.nih.gov,nih.gov,https://addictionresearch.nih.gov,True,False,
EoT,addisababa.usembassy.gov,usembassy.gov,http://addisababa.usembassy.gov,True,False,
Censys,address.api.healthcare.gov,healthcare.gov,https://address.api.healthcare.gov,True,False,
EoT,adds.aviationweather.gov,aviationweather.gov,http://adds.aviationweather.gov,True,False,
EoT,aderholt.house.gov,house.gov,https://aderholt.house.gov,True,False,
HTTPS,adf.gov,adf.gov,http://adf.gov,True,False,
Censys,adfs.ams.hhs.gov,hhs.gov,http://adfs.ams.hhs.gov,True,False,
Censys,adfs.cpsc.gov,cpsc.gov,http://adfs.cpsc.gov,True,False,
Censys,adfs.tco.census.gov,census.gov,https://adfs.tco.census.gov,True,False,
Censys,adfs.xrm.va.gov,va.gov,http://adfs.xrm.va.gov,True,False,
Censys,adgsupport.state.gov,state.gov,https://adgsupport.state.gov,True,False,
EoT,adherents.usajobs.gov,usajobs.gov,https://adherents.usajobs.gov,True,False,
HTTPS,adlnet.gov,adlnet.gov,https://www.adlnet.gov,True,False,
EoT,adlregistry.adlnet.gov,adlnet.gov,http://www.adlregistry.adlnet.gov,True,False,
EoT,adlx.adlnet.gov,adlnet.gov,http://www.adlx.adlnet.gov,True,False,
Censys,adman.tc.faa.gov,faa.gov,https://adman.tc.faa.gov,True,False,
Censys,admin-donate.peacecorps.gov,peacecorps.gov,https://admin-donate.peacecorps.gov,True,False,
EoT,admin.coastalscience.noaa.gov,noaa.gov,https://admin.coastalscience.noaa.gov,True,False,
Censys,admin.crimesolutions.gov,crimesolutions.gov,http://admin.crimesolutions.gov,True,False,
EoT,admin.eca.state.gov,state.gov,https://admin.eca.state.gov,True,False,
Censys,admin.employeeexpress.gov,employeeexpress.gov,https://admin.employeeexpress.gov,True,False,
EoT,admin.globalchange.gov,globalchange.gov,http://admin.globalchange.gov,True,False,
EoT,admin.hmspermits.noaa.gov,noaa.gov,https://admin.hmspermits.noaa.gov,True,False,
EoT,admin.houselive.gov,houselive.gov,http://admin.houselive.gov,True,False,
EoT,admin.ncd.gov,ncd.gov,http://admin.ncd.gov,True,False,
